Species,Carapace_mm,Jar_number,Initial_weight_g,Final_weight_g,Algae_floating_at_the_top,Notes
Chlorodiella,20,87,2.19,NA,Y,Trial begun at 5:00PM on February 16 after starving the crabs for 48 hours. Algae were spun for 60 seconds and then added to each treatment
Chlorodiella,17,26,3.06,NA,N,
Cyclodius,21,95,3.10,NA,N,"Messed the first three up by not labeling the pantyhose--one was 2.05, one was 1.38, and one was 1.89"
Chlorodiella,12,3,3.26,1.51,N,
Cyclodius,17,25,3.39,1.74,N,
Cyclodius,13,38,3.33,1.46,N,
Chlorodiella,18,31,3.16,0.92,N,
Cyclodius,14,8,3.27,1.71,N,Jar called Control 8
Cyclodius,20,88,3.62,2.57,N,
Cyclodius,18,29,2.37,0.91,N,
Cyclodius,16,49,3.16,2.23,Y,
Chlorodiella,18,4,3.39,2.4,N,
Cyclodius,18,11,3.08,1.13,N,
Chlorodiella,18,17,3.20,0.72,N,
Chlorodiella,15,7,3.49,1.85,N,
Chlorodiella,14,89,3.10,1.47,N,
Control,NA,39,3.36,2.53,Y,
Chlorodiella,17,40,2.99,0.83,N,
Control,NA,19,3.21,2.44,N,
Chlorodiella,15,90,2.92,1.83,N,
Chlorodiella,19,15,3.00,1.62,N,
Chlorodiella,20,52,3.50,1.49,N,
Cyclodius,19,91,3.25,2.03,N,
Control,NA,24,3.48,2.61,N,
Control,NA,47,3.66,2.4,N,
Cyclodius,15,16,3.20,1.32,N,
Cyclodius,18,2,3.32,0.88,N,
Cyclodius,24,33,3.50,1.2,N,
Cyclodius,14,41,3.10,1.62,N,
Cyclodius,12,92,3.23,2.59,N,
Cyclodius,27,34,3.06,1.24,N,
Cyclodius,24,14,3.28,1.43,N,
Cyclodius,28,43,3.28,0.99,N,
Chlorodiella,16,35,3.08,1.66,Y,
Chlorodiella,13,27,3.47,1.82,N,
Cyclodius,16,93,3.46,1.49,N,
Control,NA,9,3.15,2.54,N,
Control,NA,46,3.09,2.59,N,
Control,NA,94,3.21,2.39,N,
Control,NA,21,3.04,2.47,Y,
