Coral_ID,Treatment,Crab_treatment,Algae_treatment,Wounding_treatment,Tank_ID,HOBO_ID,Initial_algal_biomass_g,Death_day,Death_day_ymd
1,NNW,N,N,Y,1,10550960,NA,2/5/20,20200205
2,NAW,N,Y,Y,1,NA,5.11,2/5/20,20200205
3,CNN,Y,N,N,1,NA,NA,2/23/20,20200223
4,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211
5,NAN,N,Y,N,2,NA,6.1,2/5/20,20200205
6,NNN,N,N,N,2,NA,NA,2/5/20,20200205
7,CAW,Y,Y,Y,2,NA,7.93,NA,NA
8,CNW,Y,N,Y,2,10568876,NA,2/25/20,20200225
9,NAW,N,Y,Y,3,NA,6.8,2/10/20,20200210
10,NNW,N,N,Y,3,NA,NA,2/25/20,20200225
11,CAW,Y,Y,Y,3,NA,7.71,2/25/20,20200225
12,CNN,Y,N,N,3,NA,NA,2/25/20,20200225
13,NNN,N,N,N,4,NA,NA,2/25/20,20200225
14,CAN,Y,Y,N,4,10551954,7.98,2/11/20,20200211
15,CNW,Y,N,Y,4,NA,NA,2/25/20,20200225
16,NAN,N,Y,N,4,NA,7.92,2/5/20,20200205
17,NNN,N,N,N,5,10551953,NA,2/6/20,20200206
18,NNW,N,N,Y,5,NA,NA,2/6/20,20200206
19,NAW,N,Y,Y,5,NA,7.63,2/5/20,20200205
20,NAN,N,Y,N,5,NA,7.57,2/5/20,20200205
21,CAN,Y,Y,N,6,NA,8.16,2/25/20,20200225
22,CNN,Y,N,N,6,NA,NA,2/25/20,20200225
23,CNW,Y,N,Y,6,NA,NA,2/25/20,20200225
24,CAW,Y,Y,Y,6,NA,6.51,2/25/20,20200225
25,NAN,N,Y,N,7,NA,6.45,2/10/20,20200210
26,CNW,Y,N,Y,7,NA,NA,2/25/20,20200225
27,NNN,N,N,N,7,NA,NA,2/25/20,20200225
28,CAW,Y,Y,Y,7,10551961,7.7,2/25/20,20200225
29,NNW,N,N,Y,8,NA,NA,NA,NA
30,NAW,N,Y,Y,8,NA,8.32,2/10/20,20200210
31,CNN,Y,N,N,8,NA,NA,2/25/20,20200225
32,CAN,Y,Y,N,8,NA,8.96,2/25/20,20200225
33,NAW,N,Y,Y,9,NA,8.1,2/10/20,20200210
34,CNN,Y,N,N,9,NA,NA,2/25/20,20200225
35,CAW,Y,Y,Y,9,NA,6.77,2/7/20,20200207
36,CNW,Y,N,Y,9,10550958,NA,2/25/20,20200225
37,CAN,Y,Y,N,10,NA,6.9,2/23/20,20200223
38,NNN,N,N,N,10,NA,NA,2/19/20,20200219
39,NAN,N,Y,N,10,NA,6.01,2/19/20,20200219
40,NNW,N,N,Y,10,NA,NA,2/25/20,20200225
41,NAN,N,Y,N,11,10551956,6.21,2/7/20,20200207
42,NAW,N,Y,Y,11,NA,6.62,2/6/20,20200206
43,NNW,N,N,Y,11,NA,NA,2/9/20,20200209
44,CNW,Y,N,Y,11,NA,NA,2/25/20,20200225
45,NNN,N,N,N,12,NA,NA,2/20/20,20200220
46,CAN,Y,Y,N,12,NA,6.57,2/22/20,20200222
47,CNN,Y,N,N,12,NA,NA,2/25/20,20200225
48,CAW,Y,Y,Y,12,NA,6.05,2/25/20,20200225
49,NNN,N,N,N,13,NA,NA,2/25/20,20200225
50,CNW,Y,N,Y,13,10550960,NA,2/25/20,20200225
51,CAW,Y,Y,Y,13,NA,7.27,2/25/20,20200225
52,NAW,N,Y,Y,13,NA,7.84,2/7/20,20200207
53,CNN,Y,N,N,14,NA,NA,2/25/20,20200225
54,CAN,Y,Y,N,14,NA,8.72,2/6/20,20200206
55,NNW,N,N,Y,14,NA,NA,2/7/20,20200207
56,NAN,N,Y,N,14,10550963,7.2,2/6/20,20200206
57,CAN,Y,Y,N,15,NA,6.77,2/7/20,20200207
58,CAW,Y,Y,Y,15,NA,7.95,2/25/20,20200225
59,NNN,N,N,N,15,NA,NA,2/22/20,20200222
60,CNW,Y,N,Y,15,NA,NA,2/25/20,20200225
61,NAW,N,Y,Y,16,NA,8.12,2/6/20,20200206
62,NNW,N,N,Y,16,10550962,NA,2/25/20,20200225
63,NAN,N,Y,N,16,NA,8.22,2/8/20,20200208
64,CNN,Y,N,N,16,NA,NA,2/25/20,20200225
65,CNW,Y,N,Y,17,NA,NA,2/25/20,20200225
66,CAW,Y,Y,Y,17,NA,6.42,2/25/20,20200225
67,NNW,N,N,Y,17,NA,NA,2/10/20,20200210
68,NAW,N,Y,Y,17,NA,8.12,2/12/20,20200212
69,NNN,N,N,N,18,NA,NA,2/25/20,20200225
70,CNN,Y,N,N,18,NA,NA,2/25/20,20200225
71,NAN,N,Y,N,18,10550956,6.22,2/10/20,20200210
72,CAN,Y,Y,N,18,NA,7.78,2/19/20,20200219
73,NNW,N,N,Y,19,10550969,NA,2/25/20,20200225
74,NAW,N,Y,Y,19,NA,7.72,2/7/20,20200207
75,NNN,N,N,N,19,NA,NA,2/25/20,20200225
76,CAW,Y,Y,Y,19,NA,7.72,2/15/20,20200215
77,NAN,N,Y,N,20,NA,6.67,2/6/20,20200206
78,CNN,Y,N,N,20,10551958,NA,2/10/20,20200210
79,CNW,Y,N,Y,20,NA,NA,2/12/20,20200212
80,CAN,Y,Y,N,20,NA,8.4,2/6/20,20200206
