"Plot Title: 10550960"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10550960, SEN S/N: 10550960)","Intensity, lum/ft² (LGR S/N: 10550960, SEN S/N: 10550960)"
1,01/31/20 10:00:00 AM,33.430,1920.0
2,01/31/20 10:10:00 AM,33.953,1984.0
3,01/31/20 10:20:00 AM,34.058,1984.0
4,01/31/20 10:30:00 AM,33.430,1920.0
5,01/31/20 10:40:00 AM,33.639,1728.0
6,01/31/20 10:50:00 AM,33.430,1408.0
7,01/31/20 11:00:00 AM,30.963,480.0
8,01/31/20 11:10:00 AM,28.357,512.0
9,01/31/20 11:20:00 AM,28.357,576.0
10,01/31/20 11:30:00 AM,28.456,480.0
11,01/31/20 11:40:00 AM,28.555,576.0
12,01/31/20 11:50:00 AM,28.555,336.0
13,01/31/20 12:00:00 PM,28.754,704.0
14,01/31/20 12:10:00 PM,28.754,608.0
15,01/31/20 12:20:00 PM,28.754,608.0
16,01/31/20 12:30:00 PM,28.853,672.0
17,01/31/20 12:40:00 PM,28.853,576.0
18,01/31/20 12:50:00 PM,28.953,576.0
19,01/31/20 01:00:00 PM,29.053,576.0
20,01/31/20 01:10:00 PM,29.053,576.0
21,01/31/20 01:20:00 PM,29.152,576.0
22,01/31/20 01:30:00 PM,29.152,576.0
23,01/31/20 01:40:00 PM,29.252,512.0
24,01/31/20 01:50:00 PM,29.252,512.0
25,01/31/20 02:00:00 PM,29.352,608.0
26,01/31/20 02:10:00 PM,29.352,512.0
27,01/31/20 02:20:00 PM,29.352,512.0
28,01/31/20 02:30:00 PM,29.352,304.0
29,01/31/20 02:40:00 PM,29.452,480.0
30,01/31/20 02:50:00 PM,29.552,480.0
31,01/31/20 03:00:00 PM,29.652,464.0
32,01/31/20 03:10:00 PM,29.652,352.0
33,01/31/20 03:20:00 PM,29.652,288.0
34,01/31/20 03:30:00 PM,29.752,384.0
35,01/31/20 03:40:00 PM,29.853,400.0
36,01/31/20 03:50:00 PM,29.853,304.0
37,01/31/20 04:00:00 PM,29.853,256.0
38,01/31/20 04:10:00 PM,29.853,232.0
39,01/31/20 04:20:00 PM,29.853,208.0
40,01/31/20 04:30:00 PM,29.853,168.0
41,01/31/20 04:40:00 PM,29.853,152.0
42,01/31/20 04:50:00 PM,29.853,128.0
43,01/31/20 05:00:00 PM,29.853,124.0
44,01/31/20 05:10:00 PM,29.853,126.0
45,01/31/20 05:20:00 PM,29.853,119.0
46,01/31/20 05:30:00 PM,29.053,160.0
47,01/31/20 05:40:00 PM,29.552,55.0
48,01/31/20 05:50:00 PM,29.452,48.0
49,01/31/20 06:00:00 PM,29.352,35.0
50,01/31/20 06:10:00 PM,29.152,25.0
51,01/31/20 06:20:00 PM,29.053,16.0
52,01/31/20 06:30:00 PM,28.853,8.0
53,01/31/20 06:40:00 PM,28.655,2.0
54,01/31/20 06:50:00 PM,28.555,0.0
55,01/31/20 07:00:00 PM,28.357,0.0
56,01/31/20 07:10:00 PM,28.258,0.0
57,01/31/20 07:20:00 PM,28.060,0.0
58,01/31/20 07:30:00 PM,27.961,0.0
59,01/31/20 07:40:00 PM,27.862,0.0
60,01/31/20 07:50:00 PM,27.764,0.0
61,01/31/20 08:00:00 PM,27.665,0.0
62,01/31/20 08:10:00 PM,27.567,0.0
63,01/31/20 08:20:00 PM,27.468,0.0
64,01/31/20 08:30:00 PM,27.370,0.0
65,01/31/20 08:40:00 PM,27.272,0.0
66,01/31/20 08:50:00 PM,27.272,0.0
67,01/31/20 09:00:00 PM,27.173,0.0
68,01/31/20 09:10:00 PM,27.173,0.0
69,01/31/20 09:20:00 PM,27.075,0.0
70,01/31/20 09:30:00 PM,27.075,0.0
71,01/31/20 09:40:00 PM,27.173,0.0
72,01/31/20 09:50:00 PM,27.272,0.0
73,01/31/20 10:00:00 PM,27.370,0.0
74,01/31/20 10:10:00 PM,27.370,0.0
75,01/31/20 10:20:00 PM,27.468,0.0
76,01/31/20 10:30:00 PM,27.567,0.0
77,01/31/20 10:40:00 PM,27.665,0.0
78,01/31/20 10:50:00 PM,27.665,0.0
79,01/31/20 11:00:00 PM,27.665,0.0
80,01/31/20 11:10:00 PM,27.665,0.0
81,01/31/20 11:20:00 PM,27.764,0.0
82,01/31/20 11:30:00 PM,27.764,0.0
83,01/31/20 11:40:00 PM,27.764,0.0
84,01/31/20 11:50:00 PM,27.764,0.0
85,02/01/20 12:00:00 AM,27.764,0.0
86,02/01/20 12:10:00 AM,27.764,0.0
87,02/01/20 12:20:00 AM,27.764,0.0
88,02/01/20 12:30:00 AM,27.665,0.0
89,02/01/20 12:40:00 AM,27.665,0.0
90,02/01/20 12:50:00 AM,27.665,0.0
91,02/01/20 01:00:00 AM,27.567,0.0
92,02/01/20 01:10:00 AM,27.567,0.0
93,02/01/20 01:20:00 AM,27.468,0.0
94,02/01/20 01:30:00 AM,27.468,0.0
95,02/01/20 01:40:00 AM,27.468,0.0
96,02/01/20 01:50:00 AM,27.468,0.0
97,02/01/20 02:00:00 AM,27.468,0.0
98,02/01/20 02:10:00 AM,27.370,0.0
99,02/01/20 02:20:00 AM,27.370,0.0
100,02/01/20 02:30:00 AM,27.370,0.0
