Coral_ID,Date,Side,Percent_dead
1,1/31/20,Red,0
1,1/31/20,Green,0
1,2/4/20,Red,35
1,2/4/20,Green,35
1,2/5/20,Red,60
1,2/5/20,Green,50
2,1/31/20,Green,0
2,1/31/20,Red,0
2,2/4/20,Green,20
2,2/4/20,Red,33
2,2/5/20,Green,35
2,2/5/20,Red,40
3,1/31/20,Green,0
3,1/31/20,Red,0
3,2/4/20,Green,5
3,2/4/20,Red,0
3,2/5/20,Green,5
3,2/5/20,Red,0
3,2/6/20,Green,5
3,2/6/20,Red,0
3,2/7/20,Green,5
3,2/7/20,Red,0
3,2/8/20,Green,5
3,2/8/20,Red,0
3,2/9/20,Green,5
3,2/9/20,Red,0
3,2/10/20,Green,5
3,2/10/20,Red,0
3,2/11/20,Green,5
3,2/11/20,Red,0
3,2/12/20,Green,4
3,2/12/20,Red,0
3,2/13/20,Green,4
3,2/13/20,Red,0
3,2/14/20,Green,4
3,2/14/20,Red,0
3,2/15/20,Green,4
3,2/15/20,Red,0
3,2/16/20,Green,5
3,2/16/20,Red,0
3,2/17/20,Green,5
3,2/17/20,Red,5
3,2/18/20,Green,10
3,2/18/20,Red,10
3,2/19/20,Green,20
3,2/19/20,Red,20
3,2/20/20,Green,33
3,2/20/20,Red,20
3,2/21/20,Green,35
3,2/21/20,Red,25
3,2/22/20,Green,45
3,2/22/20,Red,33
3,2/23/20,Green,50
3,2/23/20,Red,50
4,1/31/20,Green,0
4,1/31/20,Red,0
4,2/4/20,Green,10
4,2/4/20,Red,5
4,2/5/20,Green,10
4,2/5/20,Red,35
4,2/6/20,Green,10
4,2/6/20,Red,35
4,2/7/20,Green,15
4,2/7/20,Red,40
4,2/8/20,Green,20
4,2/8/20,Red,40
4,2/9/20,Green,20
4,2/9/20,Red,40
4,2/10/20,Green,30
4,2/10/20,Red,40
4,2/11/20,Green,45
4,2/11/20,Red,45
5,1/31/20,Green,0
5,1/31/20,Red,5
5,2/4/20,Green,33
5,2/4/20,Red,20
5,2/5/20,Green,55
5,2/5/20,Red,55
6,1/31/20,Green,0
6,1/31/20,Red,0
6,2/4/20,Green,20
6,2/4/20,Red,20
6,2/5/20,Green,70
6,2/5/20,Red,70
7,1/31/20,Green,0
7,1/31/20,Red,5
7,2/4/20,Green,25
7,2/4/20,Red,5
7,2/5/20,Green,25
7,2/5/20,Red,15
7,2/6/20,Green,25
7,2/6/20,Red,15
7,2/7/20,Green,25
7,2/7/20,Red,15
7,2/8/20,Green,30
7,2/8/20,Red,15
7,2/9/20,Green,40
7,2/9/20,Red,20
7,2/10/20,Green,40
7,2/10/20,Red,20
7,2/11/20,Green,40
7,2/11/20,Red,20
7,2/12/20,Green,40
7,2/12/20,Red,20
7,2/13/20,Green,40
7,2/13/20,Red,20
7,2/14/20,Green,40
7,2/14/20,Red,20
7,2/15/20,Green,40
7,2/15/20,Red,20
8,1/31/20,Green,0
8,1/31/20,Red,0
8,2/4/20,Green,0
8,2/4/20,Red,5
8,2/5/20,Green,0
8,2/5/20,Red,5
8,2/6/20,Green,0
8,2/6/20,Red,5
8,2/7/20,Green,0
8,2/7/20,Red,5
8,2/8/20,Green,0
8,2/8/20,Red,5
8,2/9/20,Green,0
8,2/9/20,Red,5
8,2/10/20,Green,0
8,2/10/20,Red,5
8,2/11/20,Green,0
8,2/11/20,Red,5
8,2/12/20,Green,0
8,2/12/20,Red,5
8,2/13/20,Green,0
8,2/13/20,Red,5
8,2/14/20,Green,0
8,2/14/20,Red,5
8,2/15/20,Green,0
8,2/15/20,Red,5
8,2/16/20,Green,0
8,2/16/20,Red,5
8,2/17/20,Green,0
8,2/17/20,Red,5
8,2/18/20,Green,0
8,2/18/20,Red,5
8,2/19/20,Green,0
8,2/19/20,Red,5
8,2/20/20,Green,0
8,2/20/20,Red,5
8,2/21/20,Green,0
8,2/21/20,Red,5
8,2/22/20,Green,0
8,2/22/20,Red,5
8,2/23/20,Green,0
8,2/23/20,Red,5
8,2/24/20,Green,0
8,2/24/20,Red,5
8,2/25/20,Green,0
8,2/25/20,Red,5
9,1/31/20,Green,0
9,1/31/20,Red,0
9,2/4/20,Green,15
9,2/4/20,Red,8
9,2/5/20,Green,25
9,2/5/20,Red,8
9,2/6/20,Green,30
9,2/6/20,Red,8
9,2/7/20,Green,30
9,2/7/20,Red,30
9,2/8/20,Green,35
9,2/8/20,Red,35
