Colony_ID,Treatment,Time_point,Video_id,Video_length_min,Time,Crab_interactions,Fish_bites,Notes,,,,,,
118,NW,T6,1,17.4,3:56:38:09,0,1,3:56:38:09--DAAR looking fish definitely takes a bite out of the algae,,,,,,
118,NW,T6,2,16.6,4:02:08,0,2,Maaaybe a DAAR fish bite on the mesh at 3:58:47 (JR says no on second review). Yellow goby kind of dude definitely going at it starting at 4:02:08--maybe have partially just been hiding in the mesh but I think also maybe messing with the algae. 4:07:24 the blenny is back in the mesh--maybe took a couple bites on the mesh? At 4:10:87 a different little fishie I think takes some bites of the algae (JR doesn't see this on second review also not sure what 87 is) then at 4:10:49 the DAAR takes another bite (although it seems like it often just spits it out?). Devin was in the picture a lot at the end that might have messed with behavior,,,,,,
118,NW,T6,2,16.6,4:10:49,0,1,DAAR fishie--one above that spits it out,,,,,,
118,W,T4,3,17.4,,0,0,,,,,,,
118,W,T4,1,17.4,18:34:27,0,1,Little damsel with the yellowish tail takes an algae bite at 18:34:27,,,,,,
118,W,T4,2,4.4,,0,0,,,,,,,
121,NW,T6,1,17.4,3:58:34,0,9,"At 3:58:34 a little black blenny kind of dude starts taking bites. Stays at it for a while with breaks in between (if quantifying, watch him the whole video he reappears). At 4:11:49 a lil fish on top takes some bites or is being weird (pushups?--JR 2nd rd does not think these are bites). ",,,,,,
121,NW,T6,2,0.12,,0,0,Just a few seconds long?,,,,,,
121,W,T0,1,11.8,,0,0,,,,,,,
121,W,T0,2,11.8,,0,0,,,,,,,
121,W,T0,3,11.8,,0,0,,,,,,,
121,W,T0,4,2,,0,0,,,,,,,
122,NW,T6,1,17.4,,0,0,Pretty much just Halimeda at this point? No Wounding video--maybe because it was already gone?,,,,,,
122,NW,T6,2,15,,0,0,,,,,,,
160,NW,T2,1,10.7,,0,0,Crab came into view but didn't touch the clump--mainly feeding on dead part of branches,,,,,,
160,NW,T2,2,11.8,,0,0,Crab down in the depths again,,,,,,
160,NW,T2,3,11.8,,0,0,,,,,,,",,,,,,,,,,,,,,,,,,"
160,NW,T2,4,11.8,,0,0,I think at 9:44:33 crab might reach into algae? But couldn't actually tell. I think a couple fish bites by striped fishie starting at 9:50:29 (JR doesn't think these are actual bites? Doesn't really look like it?,,,,,,
160,NW,T2,5,11.8,,0,0,,,,,,,
160,NW,T2,6,2.6,10:30:27,0,1,Fish bite by light colored parrot maybe at 10:30:27 (JR thinks this is kinda just on the mesh? Not sure maybe review),,,,,,
160,W,T1,1,11.8,,0,0,This algae looks like the least palatable most calcified thang,,,,,,
160,W,T1,2,11.8,,0,0,,,,,,,
160,W,T1,3,12.2,,0,0,Cool portunid in the foreground,,,,,,
160,W,T1,4,11.8,,0,0,,,,,,,
160,W,T1,5,11.8,,0,0,,,,,,,
160,W,T1,6,11.2,,0,0,,,,,,,
160,W,T4,1,17.4,,0,0,,,,,,,
160,W,T4,2,13.6,16:51:10,0,3,I can't tell if this yellow fishie is going at the algae? I haven't seen any bites. See 16 hours 45 minutes 25 seconds. Lil fishie takes ~3 bites at 16:51:10 . Lined fish at least bites at mesh around 16:53:01. Little nondescript  biting again at 16:53:46,,,,,,
160,W,T4,2,13.6,16:53:01,0,1,Lined fish,,,,,,
160,W,T4,2,13.6,16:53:46,0,1,Pale/brown parrotfish,,,,,,
160,W,T4,3,17.4,,0,0,Maybe some bites by the striped guy at 16:52:26 (JR thinks no on second review(,,,,,,
161,NW,T6,1,17.4,,0,0,Algae seems mostly gone?,,,,,,
161,NW,T6,2,17.4,,0,0,,,,,,,
161,NW,T6,3,17.4,,0,0,,,,,,,
161,W,T4,1,11.8,,0,0,This one looks later in the evening,,,,,,
161,W,T4,2,11.8,,0,0,,,,,,,
161,W,T4,3,11.8,12:33:29:03,0,1,Could there be a bite by the yellow fish at 12:33:29:03? Might have also been at the coral (JR thinks angle looks more like algae?),,,,,,
161,W,T4,4,11.8,,0,0,,,,,,,
161,W,T4,5,4.2,,0,0,,,,,,,
162,NW,T4,1,17.4,,0,0,,,,,,,
162,NW,T4,3,17.4,,0,0,"This is the one with fewer numbers ""GOPR2354"". Might have actually been the first one?",,,,,,
162,NW,T4,2,11.45,,0,0,,,,,,,
163,NW,T4,1,17.6,,0,0,"One of these branches looks dead?? There is a crab on the live coral, but I don't think there's anything going on in the algae--6:00:07 for example, then walks up towards algae.",,,,,,
163,NW,T4,2,17.6,,0,0,Could it be that the crab is chewing on the coral? 6:11:47:20,,,,,,
163,NW,T4,2,17.6,6:13:18:09,0,4,Little kind of striped two tone fish,,,,,,
163,NW,T4,3,17.2,6:33:37,0,1,Little kind of striped two tone fish,,,,,,
163,W,T6,1,17.4,,0,0,,,,,,,
163,W,T6,2,17.4,22:31:54:30,0,2,Little kind of striped two tone fish,,,,,,
163,W,T6,3,13.8,22:26:25:35,0,3,Bigger black/white striped with yellow top,,,,,,
163,W,T6,3,13.8,22:26:58:32,0,1,Bigger black/white striped with yellow top,,,,,,
163,W,T6,3,13.8,22:29:10:06,0,1,Bigger black/white striped with yellow top,,,,,,
164,NW,T6,1,11.8,15:47:06:10,0,2,Angle isn't the best--not sure how accurate this is. Maybe shouldn't include this one? Bites by the algae by the grayish parrot,,,,,,
164,NW,T6,2,11.8,,0,0,,,,,,,
164,NW,T6,3,11.8,,0,0,,,,,,,
164,NW,T6,4,9.6,16:58:36:02,0,1,Little kind of striped two tone fish,,,,,,
164,W,T4,1,11.8,,0,0,Bad angle--hard to see algae,,,,,,
164,W,T4,2,11.8,,0,0,,,,,,,
164,W,T4,3,11.8,,0,0,,,,,,,
164,W,T4,4,11.8,,0,0,,,,,,,
164,W,T4,5,8,,0,0,,,,,,,
165,W,T5,1,17.4,,0,0,"This is the one with fewer numbers ""GOPR2355"". Almost no algae left?",,,,,,
165,W,T5,2,17.4,,0,0,This one starts with 1,,,,,,
165,W,T5,3,16.4,,0,0,,,,,,,
166,NW,T5,1,11.6,,0,0,Can see crabbos booping around and interacting with live coral on this,,,,,,
166,NW,T5,2,11.8,,0,0,Might have been a yellow fish in the algae (biting?) around 16:38:26 but can't confirm,,,,,,
166,NW,T5,3,11.8,,0,0,,,,,,,
166,NW,T5,4,4.6,,0,0,,,,,,,
166,W,T4,1,17.4,,0,0,Shorter name,,,,,,
166,W,T4,2,17.4,20:09:15,0,2,Little black gobie? Pretty sure these are bites,,,,,,
166,W,T4,3,10.1,,0,0,,,,,,,
167,NW,T3,1,8.9,,0,0,Seems like this fraction of coral is mobile?,,,,,,
167,NW,T3,2,8.9,,0,0,,,,,,,
167,NW,T3,3,8.9,,0,0,,,,,,,
167,NW,T3,4,2.4,,0,0,,,,,,,
167,W,T5,1,2,,0,0,Only one video? And very short?,,,,,,
168,W,T6,1,17.4,,0,0,,,,,,,
168,W,T6,2,10,7:07:45,0,2,Little black gobie,,,,,,
169,NW,T3,1,17.3,,0,0,Short name,,,,,,
169,NW,T3,2,17.4,,0,0,Crab eating algae on a branch nearby,,,,,,
169,NW,T3,3,0.5,,0,0,,,,,,,
169,W,T4,1,11.6,,0,0,GH015338,,,,,,
169,W,T4,2,11.8,,0,0,,,,,,,
169,W,T4,3,6.5,,0,0,,,,,,,
195,NW,T6,1,11.5,,0,0,,,,,,,
195,NW,T6,2,11.8,,0,0,,,,,,,
195,NW,T6,3,8.3,,0,0,,,,,,,
198,NW,T3,1,3.9, ,0,0,Very short,,,,,,
198,W,T0,1,11.8,7:21:18,8,0,Crab starts picking at 7:21:18; stops interacting at 7:23:47,,,,,,
198,W,T0,1,11.8,7:28:45,2,0,Starts interacting at 7:28:45 --almost indubidibly the same crab but not 100% sure.  Stops at 7:28:53,,,,,,
198,W,T0,2,11.8,,0,0,,,,,,,
198,W,T0,3,11.8,,0,0,,,,,,,
198,W,T0,4,11.8,8:30:31,0,2,Black fish with yellow tail. Could not be bites but I think they are,,,,,,
198,W,T0,4,11.8,8:31:02,0,6,Black fish with yellow tail again,,,,,,
198,W,T0,5,10.7,8:53:41,0,2,Black fish with yellow tail,,,,,,
198,W,T2,1,9.8,8:21:14,0,3,Black/white striped fish really went at it!!,,,,,,
198,W,T2,1,9.8,8:22:19,0,1,Little black gobie--hard to tell actually if these are bites--I think probably more on caging,,,,,,
198,W,T2,2,11.8,8:40:08,0,2,Black/white striped fish like a DAAR,,,,,,
198,W,T2,2,11.8,8:41:34,0,2,Little black gobie,,,,,,
198,W,T2,2,11.8,8:46:22,0,2,Little black gobie,,,,,,
198,W,T2,3,11.8,9:13:30,0,1,Little black gobie. Second bite looked like it was mainly on the mesh,,,,,,
198,W,T2,4,11.8,,0,0,,,,,,,
198,W,T2,5,11.8,,0,0,,,,,,,
198,W,T2,6,10.4,,0,0,,,,,,,
199,NW,T6,1,17.5,7:57:53,0,1,Little light brown wrassy/parrot guy,,,,,,
199,NW,T6,2,17.6,,0,0,,,,,,,
199,NW,T6,3,17.6,,0,0,,,,,,,
199,NW,T6,3,0.5,,0,0,,,,,,,
199,W,T4,1,16.9,,This should probably be excluded,0,Short name. Pretty bad angle on it… not sure we would want to use this?,,,,,,
199,W,T4,2,17.4,18:16:57,0,1,Little light brown wrassy/parrot guy,,,,,,
