Coral_ID,Date,Percent_white_both_sides,Treatment,Crab_treatment,Algae_treatment,Wounding_treatment,Tank_ID,HOBO_ID,Initial_algal_biomass_g,Death_day,Death_day_ymd,Perc_tissue_loss
1,2020-01-31,0,NNW,N,N,Y,1,10550960,NA,2/5/20,20200205,0
1,2020-02-04,35,NNW,N,N,Y,1,10550960,NA,2/5/20,20200205,35
1,2020-02-05,55,NNW,N,N,Y,1,10550960,NA,2/5/20,20200205,20
2,2020-01-31,0,NAW,N,Y,Y,1,NA,5.11,2/5/20,20200205,0
2,2020-02-04,26.5,NAW,N,Y,Y,1,NA,5.11,2/5/20,20200205,26.5
2,2020-02-05,37.5,NAW,N,Y,Y,1,NA,5.11,2/5/20,20200205,11
3,2020-01-31,0,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-04,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,2.5
3,2020-02-05,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-06,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-07,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-08,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-09,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-10,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-11,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-12,2,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-13,2,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-14,2,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-15,2,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0
3,2020-02-16,2.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,0.5
3,2020-02-17,5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,2.5
3,2020-02-18,10,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,5
3,2020-02-19,20,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,10
3,2020-02-20,26.5,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,6.5
3,2020-02-21,30,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,3.5
3,2020-02-22,39,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,9
3,2020-02-23,50,CNN,Y,N,N,1,NA,NA,2/23/20,20200223,11
4,2020-01-31,0,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,0
4,2020-02-04,7.5,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,7.5
4,2020-02-05,22.5,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,15
4,2020-02-06,22.5,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,0
4,2020-02-07,27.5,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,5
4,2020-02-08,30,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,2.5
4,2020-02-09,30,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,0
4,2020-02-10,35,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,5
4,2020-02-11,45,CAN,Y,Y,N,1,NA,5.03,2/11/20,20200211,10
5,2020-01-31,2.5,NAN,N,Y,N,2,NA,6.1,2/5/20,20200205,0
5,2020-02-04,26.5,NAN,N,Y,N,2,NA,6.1,2/5/20,20200205,24
5,2020-02-05,55,NAN,N,Y,N,2,NA,6.1,2/5/20,20200205,28.5
